ID,SIDO_NAME,SIGUNGU_NAME,REMARKS,SHEL_NM,ADDRESS,SHEL_AV,LENTH,SHEL_DIV_TYPE,SEISMIC,HEIGHT,MANAGE_GOV,TEL,DT_REGT,DEL_YN,LON,LAT
순번,시도명,시군구명,지역명,대피소명,주소,수용가능인원,길이,대피소 타입(1.공공건축물 2.공터 3.도로변 4.민간건축물 5.학교운동장),내진여부,높이,행정구역코드,연락처,등록일자,삭제여부,,
352,경상북도,포항시북구,방어지구(포항),월포백번횟집앞,경상북도 포항시 북구 청하면 방어리 산16,200,690,공터,null,12,47113,054-270-3148,2.02401E+13,N,129.376633,36.208705
455,경상북도,영덕군,삼사지구,삼사공원입구1,경상북도 영덕군 강구면 해상공원길 9,500,250,도로변,null,27,47770,054-730-6521,2.02401E+13,N,129.382064,36.345435
454,경상북도,영덕군,사진3지구,마을뒤야산,경상북도 영덕군 영해면 공수진길 44,100,150,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.437517,36.538747
453,경상북도,영덕군,사진2지구,마을뒤 공터,경상북도 영덕군 영해면 괴시사진길 319,150,150,공터,null,40,47770,054-730-6521,2.02401E+13,N,129.43915,36.531065
451,경상북도,영덕군,부흥지구,마을회관,경상북도 영덕군 남정면 부흥1길 27,300,130,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.376502,36.291838
450,경상북도,영덕군,부경지구,힐링턴콘도,경상북도 영덕군 남정면 동해대로 3478,400,90,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.377074,36.27232363
449,경상북도,영덕군,병곡지구,병곡휴게소,경상북도 영덕군 병곡면 흰돌로 20,800,600,공터,null,41,47770,054-730-6521,2.02401E+13,N,129.413252,36.606215
447,경상북도,영덕군,백석2지구,동해안휴게소,경상북도 영덕군 병곡면 동해대로 7656,300,300,공터,null,59,47770,054-730-6521,2.02401E+13,N,129.410934,36.623494
446,경상북도,영덕군,백석2지구,7번국도변(백석지구),경상북도 영덕군 병곡면 동해대로 7686,300,300,공터,null,59,47770,054-730-6521,2.02401E+13,N,129.399682,36.576534
445,경상북도,영덕군,백석1지구,철암산 2,경상북도 영덕군 병곡면 백석길 11-12,300,400,공터,null,56,47770,054-730-6521,2.02401E+13,N,129.409739,36.619014
442,경상북도,영덕군,대탄지구,대탄갈릴리교회 뒤,경상북도 영덕군 영덕읍 대탄길 14-5,130,330,공터,null,10,47770,054-730-6521,2.02401E+13,N,129.4309027,36.43558796
441,경상북도,영덕군,대탄지구,창호민박뒤,경상북도 영덕군 영덕읍 대탄1길 7,130,260,공터,null,49,47770,054-730-6521,2.02401E+13,N,129.432269,36.433843
440,경상북도,영덕군,대진3지구,마을뒤 야산 2,경상북도 영덕군 영해면 건달길 11-21,150,70,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.438802,36.550626
439,경상북도,영덕군,대진2지구,마을뒤 야산 1,경상북도 영덕군 영해면 관대길 77,200,150,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.428568,36.556292
438,경상북도,영덕군,대진1지구,대진1리 마을뒤 야산,경상북도 영덕군 영해면 대진리 산10-7,160,230,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.428274,36.56187
434,경상북도,영덕군,노물지구,지미슈퍼뒤 공터,경상북도 영덕군 영덕읍 영덕대게로 1296,20,250,공터,null,35,47770,054-730-6521,2.02401E+13,N,129.43293,36.447001
432,경상북도,영덕군,노물지구,선창횟집 뒤,경상북도 영덕군 영덕읍 노물2길 12,20,320,공터,null,45,47770,054-730-6521,2.02401E+13,N,129.43115,36.446269
431,경상북도,영덕군,노물지구,구)보건소 맞은편,경상북도 영덕군 영덕읍 노물1길 15,35,370,공터,null,42,47770,054-730-6521,2.02401E+13,N,129.431069,36.446812
430,경상북도,영덕군,노물지구,경노회관뒤 골목,경상북도 영덕군 영덕읍 노물길 11-8,25,140,공터,null,48,47770,054-730-6521,2.02401E+13,N,129.434362,36.446471
429,경상북도,영덕군,남호지구,웰빙문화테마마을입구,경상북도 영덕군 남정면 동해대로 4165-17,70,600,공터,null,28,47770,054-730-6521,2.02401E+13,N,129.3775171,36.32953985
428,경상북도,영덕군,남호지구,남호승강장,경상북도 영덕군 남정면 남호리 119-2,100,120,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.373778,36.333401
427,경상북도,영덕군,금진2지구,풍성호뒤,경상북도 영덕군 강구면 영덕대게로 221-16,50,70,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.394469,36.368648
426,경상북도,영덕군,금진2지구,소하민박뒤,경상북도 영덕군 강구면 영덕대게로 229-10,50,70,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.395274,36.369197
425,경상북도,영덕군,금진2지구,금진택지입구,경상북도 영덕군 강구면 금진길 14-4,200,180,공터,null,22,47770,054-730-6521,2.02401E+13,N,129.393826,36.366124
456,경상북도,영덕군,삼사지구,삼사공원입구2,경상북도 영덕군 강구면 해상공원길 34,150,100,도로변,null,27,47770,054-730-6521,2.02401E+13,N,129.384945,36.345255
457,경상북도,영덕군,삼사지구,씨아일랜드주차장,경상북도 영덕군 강구면 동해대로 4280,50,60,공터,null,10,47770,054-730-6521,2.02401E+13,N,129.381578,36.340158
482,경상북도,영덕군,하저지구,푸른바다민박뒤,경상북도 영덕군 강구면  영덕대게로 555,100,270,공터,null,11,47770,054-730-6521,2.02401E+13,N,129.414122,36.393511
481,경상북도,영덕군,하저지구,탁주합동제조장뒤,경상북도 영덕군 강구면 영덕대게로 509-19,100,430,공터,null,12,47770,054-730-6521,2.02401E+13,N,129.4084,36.392005
480,경상북도,영덕군,하저지구,문화교맞은편뒤,경상북도 영덕군 강구면 하저길 419-8,100,200,공터,null,15,47770,054-730-6521,2.02401E+13,N,129.406888,36.390612
479,경상북도,영덕군,축산항지구,축산항초교,경상북도 영덕군 축산면 축산항초교길 2,400,600,학교운동장,null,20,47770,054-730-6521,2.02401E+13,N,129.442524,36.509327
478,경상북도,영덕군,축산항지구,죽도산,경상북도 영덕군 축산면 축산항길 97,300,400,공터,null,40,47770,054-730-6521,2.02401E+13,N,129.450889,36.507654
477,경상북도,영덕군,축산항지구,와우산,경상북도 영덕군 축산면 축산항5길 11-2,200,100,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.446597,36.510827
476,경상북도,영덕군,축산항지구,블루로드길,경상북도 영덕군 축산면 축산항2길 9-32,100,70,공터,null,40,47770,054-730-6521,2.02401E+13,N,129.444205,36.501362
475,경상북도,영덕군,축산항지구,목너머,경상북도 영덕군 축산면 영덕대게로 2138,400,70,공터,null,15,47770,054-730-6521,2.02401E+13,N,129.443537,36.512057
474,경상북도,영덕군,창포지구,창포초등학교,경상북도 영덕군 영덕읍 창포길 2-12,430,100,학교운동장,null,25,47770,054-730-6521,2.02401E+13,N,129.427915,36.409441
473,경상북도,영덕군,창포지구,창포일반(강유복 집뒤),경상북도 영덕군 영덕읍 창포1길 19-8,30,150,공터,null,29,47770,054-730-6521,2.02401E+13,N,129.429359,36.412006
472,경상북도,영덕군,창포지구,창포보건소뒤,경상북도 영덕군 영덕읍 영덕대게로 767-5,30,100,공터,null,29,47770,054-730-6521,2.02401E+13,N,129.423395,36.407756
471,경상북도,영덕군,창포지구,제당옆골목,경상북도 영덕군 영덕읍 창포1길 5,30,90,공터,null,24,47770,054-730-6521,2.02401E+13,N,129.428646,36.411318
470,경상북도,영덕군,창포지구,창포활어대게횟집 뒤,경상북도 영덕군 영덕읍 영덕대게로 811,30,130,공터,null,35,47770,054-730-6521,2.02401E+13,N,129.428784,36.408875
469,경상북도,영덕군,장사지구(영덕),부흥2리 뒷산,경상북도 영덕군 남정면 산정로 57,250,200,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.367869,36.287882
468,경상북도,영덕군,장사지구(영덕),남정중학교,경상북도 영덕군 남정면 진불길 11-20,500,500,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.370855,36.28362
467,경상북도,영덕군,원척지구,마을공터,경상북도 영덕군 남정면 동해대로 3788,270,70,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.377639,36.297897
466,경상북도,영덕군,"오포2,3지구",오포대게식당뒤,경상북도 영덕군 강구면 신강구길 74,500,200,공터,null,33,47770,054-730-6521,2.02401E+13,N,129.386473,36.354011
465,경상북도,영덕군,"오포2,3지구",독도수산뒤,경상북도 영덕군 강구면 신강구길 88,500,160,공터,null,37,47770,054-730-6521,2.02401E+13,N,129.386,36.353
464,경상북도,영덕군,"오포2,3지구",강구초등학교,경상북도 영덕군 강구면 나비산길 8,500,490,학교운동장,null,20,47770,054-730-6521,2.02401E+13,N,129.37878,36.356435
462,경상북도,영덕군,오포1지구,오포1리 마을뒷산(2),경상북도 영덕군 강구면 오포리 산10,200,600,공터,null,340,47770,054-730-6521,2.02401E+13,N,129.373347,36.364839
461,경상북도,영덕군,오포1지구,오포1리 마을뒷산(1),경상북도 영덕군 강구면 오포3길 9,100,550,공터,null,340,47770,054-730-6521,2.02401E+13,N,129.374242,36.361722
459,경상북도,영덕군,오보지구,오보교회뒤,경상북도 영덕군 영덕읍 오보길 25-5,50,170,공터,null,47,47770,054-730-6521,2.02401E+13,N,129.432117,36.442387
458,경상북도,영덕군,영4지구,영4리 야산,경상북도 영덕군 병곡면 영길 7,300,600,공터,null,49,47770,054-730-6521,2.02401E+13,N,129.4027,36.59352
424,경상북도,영덕군,금진1지구,마을뒷산(금진),경상북도 영덕군 강구면 영덕대게로 405,100,50,공터,null,23,47770,054-730-6521,2.02401E+13,N,129.4051,36.381937
423,경상북도,영덕군,금진1지구,대구대학교연수원,경상북도 영덕군 강구면 번영길 235,500,80,공터,null,22,47770,054-730-6521,2.02401E+13,N,129.403119,36.379819
387,경상북도,경주시,나아지구,나산초등학교,경상북도 경주시 양남면 읍천리 17,1000,400,학교운동장,null,15,47130,054-760-2034,2.02401E+13,N,129.4703,35.69788
386,경상북도,경주시,관성지구,현대자동차 수련원,경상북도 경주시 양남면 수렴리 240-6,1000,300,공터,null,20,47130,054-760-2034,2.02401E+13,N,129.4586,35.66864
385,경상북도,경주시,관성지구,통일로 토종순대국,경상북도 경주시 양남면 수렴리 94-9,500,150,공터,null,15,47130,054-760-2034,2.02401E+13,N,129.462907,35.667406
384,경상북도,경주시,관성지구,바다모텔 옆 야산,경상북도 경주시 양남면 수렴리 산85-5,200,120,공터,null,15,47130,054-760-2034,2.02401E+13,N,129.4509,35.65906
383,경상북도,경주시,감포지구,감포초등학교,경상북도 경주시 감포읍 감포리 16,1300,300,학교운동장,null,15,47130,054-760-2034,2.02401E+13,N,129.502019,35.809598
382,경상북도,경주시,감포지구,감포읍사무소,경상북도 경주시 감포읍 감포리 56-1,100,170,공공건축물,미적용,15,47130,054-760-2034,2.02401E+13,N,129.501676,35.807396
379,경상북도,포항시북구,환여지구,환호동해맞이공원,경상북도 포항시 북구 환호동 323-3,570,560,공터,null,14,47113,054-270-3148,2.02401E+13,N,129.3954517,36.068228
378,경상북도,포항시북구,환여지구,환호 여중 앞,경상북도 포항시 북구 환호동 69,370,350,학교운동장,null,14,47113,054-270-3148,2.02401E+13,N,129.4007593,36.071086
376,경상북도,포항시북구,환여지구,포항해양과학고 앞,경상북도 포항시 북구 환호동 2-8,200,730,학교운동장,null,22,47113,054-270-3148,2.02401E+13,N,129.406166,36.074059
370,경상북도,포항시북구,청진지구,스타팜펜션 앞 공터 ,경상북도 포항시 북구 청하면 청진리 413-1,50,170,공터,null,20,47113,054-270-3148,2.02401E+13,N,129.396289,36.17027
369,경상북도,포항시북구,청진지구,선정마을입구 앞 ,경상북도 포항시 북구 청하면 청진리 309,80,600,공터,null,27,47113,054-270-3148,2.02401E+13,N,129.392816,36.174615
368,경상북도,포항시북구,지경지구,화진휴게소 입구,경상북도 포항시 북구 송라면 지경리 342-6,140,280,공터,null,19,47113,054-270-3148,2.02401E+13,N,129.371698,36.253542
367,경상북도,포항시북구,지경지구,화진교 옆 공터,경상북도 포항시 북구 송라면 지경리 621,50,445,공터,null,9,47113,054-270-3148,2.02401E+13,N,129.370461,36.250098
366,경상북도,포항시북구,지경지구,지경검문소 앞 공터,경상북도 포항시 북구 송라면 지경리 199-1,130,160,공터,null,14,47113,054-270-3148,2.02401E+13,N,129.374368,36.263295
365,경상북도,포항시북구,죽천지구,해뜨는집 앞 공터 ,경상북도 포항시 북구 흥해읍 죽천리 173-16,90,730,공터,null,30,47113,054-270-3148,2.02401E+13,N,129.4175501,36.088605
364,경상북도,포항시북구,죽천지구,죽천초등학교 앞,경상북도 포항시 북구 흥해읍 우목리 105,200,200,학교운동장,null,22,47113,054-270-3148,2.02401E+13,N,129.4276113,36.097243
363,경상북도,포항시북구,죽천지구,죽천마을입구 앞 버스정류장,경상북도 포항시 북구 흥해읍 죽천리 711-1,80,400,공터,null,16,47113,054-270-3148,2.02401E+13,N,129.4176845,36.091235
362,경상북도,포항시북구,이가지구,이가힐펜션 앞,경상북도 포항시 북구 청하면 이가리 911,120,450,공터,null,20,47113,054-270-3148,2.02401E+13,N,129.3838917,36.183752
359,경상북도,포항시북구,월포지구,월포다리,경상북도 포항시 북구 청하면 월포리 3-18,500,650,공공건축물,여,10,47113,054-270-3148,2.02401E+13,N,129.372621,36.207883
358,경상북도,포항시북구,용한지구,용한1리 마을입구 ,경상북도 포항시 북구 흥해읍 용한리 산 41-1,21,200,공터,null,31,47113,054-270-3148,2.02401E+13,N,129.4266122,36.110027
356,경상북도,포항시북구,오도지구,작은펜션 앞 공터 ,경상북도 포항시 북구 흥해읍 오도리 543,40,570,공터,null,34,47113,054-270-3148,2.02401E+13,N,129.396128,36.157311
355,경상북도,포항시북구,오도지구,오도해수욕장 입구,경상북도 포항시 북구 흥해읍 오도리 359-3,48,220,공터,null,20,47113,054-270-3148,2.02401E+13,N,129.398396,36.154109
354,경상북도,포항시북구,오도지구,사방기념관 입구,경상북도 포항시 북구 흥해읍 오도리 87,40,330,공터,null,18,47113,054-270-3148,2.02401E+13,N,129.397939,36.163428
388,경상북도,경주시,나정지구,나정1리 마을회관 앞 야산,경상북도 경주시 감포읍 나정리 203,500,180,공터,null,15,47130,054-760-2034,2.02401E+13,N,129.491105,35.778701
389,경상북도,경주시,나정지구,나정2리 마을회관 뒤 솔밭,경상북도 경주시 감포읍 나정리 223-2,1000,150,공터,null,20,47130,054-760-2034,2.02401E+13,N,129.492946,35.777644
422,경상북도,영덕군,금곡2지구,구국도변 공터 2,경상북도 영덕군 병곡면 군지경로 92,80,300,공터,null,35,47770,054-730-6521,2.02401E+13,N,129.420621,36.642051
421,경상북도,영덕군,금곡2지구,구국도변 공터,경상북도 영덕군 병곡면 군지경로 106,70,300,공터,null,28,47770,054-730-6521,2.02401E+13,N,129.422014,36.643406
420,경상북도,영덕군,금곡1지구,칠보산도로변,경상북도 영덕군 병곡면 칠보산길 1296,200,300,공터,null,79,47770,054-730-6521,2.02401E+13,N,129.4106,36.638611
417,경상북도,영덕군,구계지구,제당뒷산,경상북도 영덕군 남정면 남정면 구계리 253-2,310,310,공터,null,25,47770,054-730-6521,2.02401E+13,N,129.3785,36.3209
415,경상북도,영덕군,구계지구,마을뒷산,경상북도 영덕군 남정면 남정면 구계리 319-1,220,220,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.3785,36.3209
414,경상북도,영덕군,구계지구,구계승강장,경상북도 영덕군 남정면 남정면 동해대로 4048,200,120,도로변,null,30,47770,054-730-6521,2.02401E+13,N,129.379697,36.320545
413,경상북도,영덕군,경정3지구,경정석산(버스승강장),경상북도 영덕군 축산면 고경길 256,100,200,도로변,null,35,47770,054-730-6521,2.02401E+13,N,129.431814,36.475093
412,경상북도,영덕군,경정2지구,태흥모텔 앞 공터,경상북도 영덕군 축산면 영덕대게로 1861,250,150,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.442883,36.493652
411,경상북도,영덕군,경정1지구,축산항초등학교 경정분교뒤 공터,경상북도 영덕군 축산면 경정길 17,200,350,학교운동장,null,20,47770,054-730-6521,2.02401E+13,N,129.433657,36.486086
410,경상북도,영덕군,경정1지구,경정해수욕장 뒷산,경상북도 영덕군 축산면 경정2길 3,100,100,공터,null,25,47770,054-730-6521,2.02401E+13,N,129.432803,36.482615
407,경상북도,영덕군,거무역지구,7번국도변(거무역),경상북도 영덕군 병곡면 아실길 9,100,480,공터,null,24,47770,054-730-6521,2.02401E+13,N,129.399714,36.576542
406,경상북도,영덕군,강구지구,수협창고뒤,경상북도 영덕군 강구면 강구길 20-6,400,400,공터,null,36,47770,054-730-6521,2.02401E+13,N,129.385875,36.359965
405,경상북도,영덕군,강구지구,미혜식당뒤,경상북도 영덕군 강구면 영덕대게로 143-9,400,65,공터,null,31,47770,054-730-6521,2.02401E+13,N,129.39269,36.361934
403,경상북도,경주시,하서지구,카리브모텔 뒤 야산,경상북도 경주시 양남면 하서리 195-1,1000,150,공터,null,20,47130,054-760-2034,2.02401E+13,N,129.4701,35.68226
402,경상북도,경주시,하서지구,양남중학교 운동장,경상북도 경주시 양남면 하서리 651,1000,400,학교운동장,null,15,47130,054-760-2034,2.02401E+13,N,129.460154,35.673865
401,경상북도,경주시,읍천지구,읍천1리 마을회관 뒤 솔밭,경상북도 경주시 양남면 읍천리 산54,3000,140,공터,null,20,47130,054-760-2034,2.02401E+13,N,129.472536,35.690672
400,경상북도,경주시,오류지구,일출빌라 뒤 야산,경상북도 경주시 감포읍 오류리 326-2,1000,200,공터,null,20,47130,054-760-2034,2.02401E+13,N,129.510957,35.816212
397,경상북도,경주시,오류지구,감포댐 입구,경상북도 경주시 감포읍 오류리 산14-81,1000,150,공터,null,12,47130,054-760-2034,2.02401E+13,N,129.511997,35.836855
395,경상북도,경주시,대본지구,전망대횟집 앞 야산,경상북도 경주시 감포읍 대본리 산172-2,1000,100,공터,null,15,47130,054-760-2034,2.02401E+13,N,129.49147,35.752587
393,경상북도,경주시,대본지구,대본3리 마을회관 앞 공터,경상북도 경주시 감포읍 대본리 606-6,50,100,공터,미적용,15,47130,054-760-2034,2.02401E+13,N,129.485942,35.7466097
392,경상북도,경주시,대본지구,감포관광단지 주차장,경상북도 경주시 감포읍 대본리 1247,3000,100,공터,null,15,47130,054-760-2034,2.02401E+13,N,129.492469,35.763351
391,경상북도,경주시,나정지구,전촌1리 마을회관,경상북도 경주시 감포읍 천촌리 532-1,50,550,공공건축물,미적용,15,47130,054-760-2034,2.02401E+13,N,129.488369,35.792853
390,경상북도,경주시,나정지구,시드니 낚시마트 뒤 야산,경상북도 경주시 감포읍 천촌리 105-2,1000,100,공터,null,40,47130,054-760-2034,2.02401E+13,N,129.494894,35.792703
483,경상북도,영덕군,하저지구,하저문화마을뒤,경상북도 영덕군 강구면 하저1길 21-34,200,310,공터,null,14,47770,054-730-6521,2.02401E+13,N,129.404467,36.389579
